lat0,lon0
37.792480,-122.397450
posX,posY,posZ,halfSizeX,halfSizeY,halfSizeZ
-305,-435,85.5,5,5,85.5
-295,-435,85.5,5,5,85.5
-285,-435,85.5,5,5,85.5
-275,-435,85.5,5,5,85.5
-225,-435,50,5,5,50
-215,-435,50,5,5,50
-205,-435,50,5,5,50
-175,-435,1.5,5,5,1.5
-165,-435,46,5,5,46
-155,-435,46,5,5,46
-145,-435,46,5,5,46
-135,-435,46,5,5,46
-125,-435,46,5,5,46
-115,-435,27.5,5,5,27.5
-105,-435,8,5,5,8
-95,-435,8,5,5,8
-85,-435,8,5,5,8
-75.00001,-435,8,5,5,8
-45,-435,20.5,5,5,20.5
-35,-435,20.5,5,5,20.5
-15,-435,7.5,5,5,7.5
-5,-435,12,5,5,12
5,-435,12,5,5,12
15,-435,26.5,5,5,26.5
25.00001,-435,26.5,5,5,26.5
35,-435,54.5,5,5,54.5
45.00001,-435,54.5,5,5,54.5
54.99999,-435,54.5,5,5,54.5
95,-435,11,5,5,11
105,-435,11,5,5,11
115,-435,11,5,5,11
125,-435,11,5,5,11
135,-435,11,5,5,11
355,-435,17,5,5,17
365,-435,17,5,5,17
375,-435,17,5,5,17
385,-435,17,5,5,17
395,-435,17,5,5,17
415,-435,5,5,5,5
425,-435,5,5,5,5
435,-435,5,5,5,5
445,-435,5,5,5,5
485,-435,29.5,5,5,29.5
495,-435,29.5,5,5,29.5
-305,-425,85.5,5,5,85.5
-295,-425,85.5,5,5,85.5
-285,-425,85.5,5,5,85.5
-275,-425,85.5,5,5,85.5
-225,-425,50,5,5,50
-215,-425,50,5,5,50
-205,-425,50,5,5,50
-175,-425,46,5,5,46
-165,-425,46,5,5,46
-155,-425,46,5,5,46
-145,-425,46,5,5,46
-135,-425,46,5,5,46
-125,-425,46,5,5,46
-115,-425,27.5,5,5,27.5
-105,-425,8,5,5,8
-95,-425,8,5,5,8
-85,-425,8,5,5,8
-75,-425,8,5,5,8
-35,-425,20.5,5,5,20.5
-25,-425,20.5,5,5,20.5
-15,-425,7.5,5,5,7.5
-5,-425,12,5,5,12
5,-425,12,5,5,12
15,-425,26.5,5,5,26.5
25.00001,-425,26.5,5,5,26.5
35,-425,54.5,5,5,54.5
44.99999,-425,54.5,5,5,54.5
55,-425,54.5,5,5,54.5
305,-425,40.5,5,5,40.5
315,-425,40.5,5,5,40.5
355,-425,17,5,5,17
365,-425,17,5,5,17
375,-425,17,5,5,17
385,-425,17,5,5,17
395,-425,17,5,5,17
415,-425,5,5,5,5
425,-425,5,5,5,5
435,-425,5,5,5,5
445,-425,5,5,5,5
485,-425,29.5,5,5,29.5
495,-425,29.5,5,5,29.5
-305,-415,85.5,5,5,85.5
-295,-415,85.5,5,5,85.5
-285,-415,85.5,5,5,85.5
-275,-415,85.5,5,5,85.5
-235,-415,50,5,5,50
-225,-415,50,5,5,50
-215,-415,50,5,5,50
-205,-415,50,5,5,50
-145,-415,26.5,5,5,26.5
-135,-415,26.5,5,5,26.5
-125,-415,26.5,5,5,26.5
-115,-415,27.5,5,5,27.5
-105,-415,8,5,5,8
-95,-415,8,5,5,8
-85,-415,8,5,5,8
-75,-415,8,5,5,8
-35,-415,20.5,5,5,20.5
-25,-415,20.5,5,5,20.5
-15,-415,7.5,5,5,7.5
-5,-415,7.5,5,5,7.5
5,-415,12,5,5,12
15,-415,26.5,5,5,26.5
205,-415,20.5,5,5,20.5
265,-415,10.5,5,5,10.5
295,-415,40.5,5,5,40.5
305,-415,40.5,5,5,40.5
315,-415,40.5,5,5,40.5
355,-415,17,5,5,17
365,-415,17,5,5,17
375,-415,17,5,5,17
385,-415,17,5,5,17
395,-415,17,5,5,17
425,-415,4,5,5,4
435,-415,4,5,5,4
445,-415,4,5,5,4
485,-415,29.5,5,5,29.5
495,-415,29.5,5,5,29.5
-305,-405,85.5,5,5,85.5
-295,-405,85.50001,5,5,85.50001
-285,-405,85.5,5,5,85.5
-275,-405,85.5,5,5,85.5
-215,-405,50,5,5,50
-205,-405,50,5,5,50
-165,-405,26.5,5,5,26.5
-155,-405,26.5,5,5,26.5
-145,-405,26.5,5,5,26.5
-135,-405,26.5,5,5,26.5
-125,-405,26.5,5,5,26.5
-115,-405,27.5,5,5,27.5
